number_courses,time_study,Marks,Average,Total
3,4.508,19.202,8.903333333333334,26.71
4,0.096,7.734,3.9433333333333334,11.83
4,3.133,13.811,6.981333333333333,20.944
6,7.909,53.018,22.308999999999997,66.92699999999999
8,7.811,55.299,23.703333333333333,71.11
6,3.211,17.822,9.011000000000001,27.033
3,6.063,29.889,12.984,38.952
5,3.413,17.264,8.559,25.677
4,4.41,20.348,9.586,28.758
3,6.173,30.862,13.344999999999999,40.035
3,7.353,42.036,17.463,52.389
7,0.423,12.132,6.5183333333333335,19.555
7,4.218,24.318,11.845333333333334,35.536
3,4.274,17.672,8.315333333333333,24.946
3,2.908,11.397,5.7683333333333335,17.305
4,4.26,19.466,9.241999999999999,27.726
5,5.719,30.548,13.755666666666665,41.266999999999996
8,6.08,38.49,17.523333333333333,52.57
6,7.711,50.986,21.56566666666667,64.697
8,3.977,25.133,12.37,37.11
4,4.733,22.073,10.268666666666666,30.806
6,6.126,35.939,16.021666666666665,48.065
5,2.051,12.209,6.419999999999999,19.259999999999998
7,4.875,28.043,13.306,39.918
4,3.635,16.517,8.050666666666666,24.152
3,1.407,6.623,3.676666666666667,11.030000000000001
7,0.508,12.647,6.718333333333334,20.155
8,4.378,26.532,12.969999999999999,38.91
5,0.156,9.333,4.829666666666667,14.489
4,1.299,8.837,4.712,14.136
8,3.864,24.172,12.012,36.036
3,1.923,8.1,4.341,13.023
8,0.932,15.038,7.989999999999999,23.97
6,6.594,39.965,17.51966666666667,52.559000000000005
3,4.083,17.171,8.084666666666665,24.253999999999998
3,7.543,43.978,18.173666666666666,54.521
4,2.966,13.119,6.695,20.085
6,7.283,46.453,19.912000000000003,59.736000000000004
7,6.533,41.358,18.297,54.891
6,7.775,51.142,21.639,64.917
4,0.14,7.336,3.825333333333333,11.475999999999999
6,2.754,15.725,8.159666666666666,24.479
6,3.591,19.771,9.787333333333335,29.362000000000002
5,1.557,10.429,5.662,16.986
4,1.954,9.742,5.232,15.696000000000002
3,2.061,8.924,4.661666666666666,13.985
4,3.797,16.703,8.166666666666666,24.5
4,4.779,22.701,10.493333333333334,31.48
3,5.635,26.882,11.839,35.517
5,3.913,19.106,9.339666666666668,28.019000000000002
6,6.703,40.602,17.76833333333333,53.30499999999999
6,4.13,22.184,10.771333333333333,32.314
4,0.771,7.892,4.221,12.663
7,6.049,36.653,16.567333333333334,49.702
8,7.591,53.158,22.91633333333333,68.749
7,2.913,18.238,9.383666666666667,28.151
8,7.641,53.359,23.0,69.0
7,7.649,51.583,22.077333333333332,66.232
3,6.198,31.236,13.478,40.434
8,7.468,51.343,22.270333333333337,66.811
6,0.376,10.522,5.632666666666666,16.898
4,2.438,10.844,5.760666666666666,17.282
6,3.606,19.59,9.732,29.195999999999998
3,4.869,21.379,9.749333333333334,29.248
7,0.13,12.591,6.573666666666667,19.721
6,2.142,13.562,7.234666666666667,21.704
4,5.473,27.569,12.347333333333333,37.042
3,0.55,6.185,3.2449999999999997,9.735
4,1.395,8.92,4.7716666666666665,14.315
6,3.948,21.4,10.449333333333334,31.348
4,3.736,16.606,8.114,24.342000000000002
5,2.518,13.416,6.978000000000001,20.934
3,4.633,20.398,9.343666666666666,28.031
3,1.629,7.014,3.8810000000000002,11.643
4,6.954,39.952,16.968666666666667,50.906
3,0.803,6.217,3.34,10.02
5,6.379,36.746,16.041666666666668,48.125
8,5.985,38.278,17.421,52.263
7,7.451,49.544,21.331666666666667,63.995
3,0.805,6.349,3.3846666666666665,10.154
7,7.957,54.321,23.092666666666663,69.27799999999999
8,2.262,17.705,9.322333333333333,27.967
4,7.41,44.099,18.503,55.509
5,3.197,16.106,8.101,24.303
8,1.982,16.461,8.814333333333332,26.442999999999998
8,6.201,39.957,18.052666666666667,54.158
7,4.067,23.149,11.405333333333333,34.216
3,1.033,6.053,3.3619999999999997,10.085999999999999
5,1.803,11.253,6.018666666666667,18.056
7,6.376,40.024,17.8,53.400000000000006
7,4.182,24.394,11.858666666666666,35.576
8,2.73,19.564,10.098,30.294
4,5.027,23.916,10.981,32.943
8,6.471,42.426,18.965666666666667,56.897000000000006
8,3.919,24.451,12.123333333333335,36.370000000000005
6,3.561,19.128,9.563,28.689
3,0.301,5.609,2.97,8.91
4,7.163,41.444,17.535666666666668,52.607
7,0.309,12.027,6.445333333333333,19.336
3,6.335,32.357,13.897333333333334,41.692
